Account ID,Card No,Transaction Date,Transaction Amount,Terminal ID,Terminal Location,Transaction Type,Transaction Destination,IQR,iForest,Local Outlier,Elliptical
501124515611,5264 7110 6400 6369,"Saturday, 1 January 2022",249046.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 1 January 2022",50.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Sunday, 2 January 2022",68.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 3 January 2022",30.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 3 January 2022",48.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 4 January 2022",28.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Tuesday, 4 January 2022",96.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Tuesday, 4 January 2022",48.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Tuesday, 4 January 2022",58.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 5 January 2022",52.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 5 January 2022",88.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 5 January 2022",74.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 5 January 2022",48.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 5 January 2022",90.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Thursday, 6 January 2022",40.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 6 January 2022",94.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 6 January 2022",70.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 7 January 2022",76.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Friday, 7 January 2022",70.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 7 January 2022",96.00,41826,Bugis+,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 8 January 2022",80.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 8 January 2022",52.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 8 January 2022",64.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 8 January 2022",96.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 9 January 2022",62.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 9 January 2022",96.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Monday, 10 January 2022",98.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 10 January 2022",1008.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Tuesday, 11 January 2022",78.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Tuesday, 11 January 2022",42.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Tuesday, 11 January 2022",80.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Tuesday, 11 January 2022",54.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 12 January 2022",76.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
